Match ,Teams,Venue,Scoreline,Home Goals ,Away Goals,Home Possession,Away Possession,Home Shots,Away Shots,Home SoT,Away SoT,Home Passes,Away Passes,Home Pass Acc,Away Pass Acc,Home Fouls,Away Fouls,Home Yellows,Away Yellows,Home Reds,Away Reds,Home Offsides,Away Offsides,Home Corners,Away Corners,Home Saves,Away Saves,Goals Diff,Possession Diff,Shots Diff,SoT Diff,Passes Diff,Pass Acc Diff,Fouls Diff,Yellows Diff,Reds Diff,Offsides Diff,Corners Diff,Saves Diff,Stat score abs,Stat score pure,Normalized stat score abs,Normalized stat score pure,Balance
UCL_SF_L2,Real Madrid vs Bayern,Estadio Santiago Bernabeu,2-1,2,1,55,45,19,8,7,5,587,419,90,86,12,10,1,1,0,0,0,2,8,4,4,5,1,10,11,2,168,4,-2,0,0,2,4,-1,42.18,40.18,4.218,4.018,57.82
UCL_F_,Dortmund vs Real Madrid ,Wembley Stadium,0-2,0,2,46,54,13,13,3,6,353,504,86,92,12,8,3,1,0,0,1,0,9,8,4,3,-2,-8,0,-3,-151,-6,-4,-2,0,-1,1,1,29.01,-28.01,2.901,-2.801,70.99
CUP_F_,Man City vs Man United,Wembley Stadium,1-2,1,2,74,26,19,11,4,5,667,248,90,76,7,11,1,2,0,0,1,3,7,1,3,3,-1,48,8,-1,419,14,4,1,0,2,6,0,89.19,83.19,8.919,8.319,10.81
UCL_QF_L1,Bayern vs Inter,Allianz Arena,1-2,1,2,57,43,17,8,7,4,612,435,93,94,9,9,1,4,0,0,0,1,5,1,2,6,-1,14,9,3,177,-1,0,3,0,1,4,-4,43.27,39.27,4.327,3.927,56.73
UCL_QF_L2,Inter vs Bayern,San Siro,2-2,2,2,42,58,13,17,7,6,248,489,89,92,10,15,2,2,0,0,0,1,5,6,4,5,0,-16,-4,1,-241,-3,5,0,0,1,-1,-1,33.41,-22.41,3.341,-2.241,66.59
LEAGUE_LEAGUE_,Espanyol vs Barcelona,RCDE Stadium,0-2,0,2,25,75,11,10,2,4,183,701,76,93,12,9,2,2,1,0,5,0,3,3,2,2,-2,-50,1,-2,-518,-17,-3,0,-1,-5,0,0,88.18,-85.18,8.818,-8.518,11.82
LEAGUE_LEAGUE_,Tottenham vs Liverpool,Tottenham Hotspur Stadium,3-6,3,6,52,48,9,25,5,11,493,414,91,91,7,9,1,2,0,0,4,4,7,5,5,2,-3,4,-16,-6,79,0,2,1,0,0,2,3,46.79,-31.21,4.679,-3.121,53.21
UEL_F_,Tottenham vs Man United,San Mamés,1-0,1,0,35,65,3,13,1,3,161,453,78,94,20,9,3,4,0,0,1,2,4,5,3,0,1,-30,-10,-2,-292,-16,-11,1,0,1,-1,3,76.92,-70.92,7.692,-7.092,23.08
LEAGUE_LEAGUE_,Como vs Inter,Stadio Giuseppe Sinigaglia,0-2,0,2,40,60,12,12,4,6,365,595,92,94,10,10,1,3,1,0,0,3,1,4,4,4,-2,-20,0,-2,-230,-2,0,2,-1,3,-3,0,38.8,-28.8,3.88,-2.88,61.2
LEAGUE_LEAGUE_,Napoli vs Cagliari,Stadio Diego Armando Maradona,2-0,2,0,54,46,16,13,6,1,558,235,95,92,13,14,2,1,0,0,1,1,6,3,1,4,2,8,3,5,323,3,1,-1,0,0,3,-3,33.73,31.73,3.373,3.173,66.27
