Match ,Teams,Venue,Scoreline,Home Goals ,Away Goals,Home Possession,Away Possession,Home Shots,Away Shots,Home SoT,Away SoT,Home Passes,Away Passes,Home Pass Acc,Away Pass Acc,Home Fouls,Away Fouls,Home Yellows,Away Yellows,Home Reds,Away Reds,Home Offsides,Away Offsides,Home Corners,Away Corners,Home Saves,Away Saves,Goals Diff,Possession Diff,Shots Diff,SoT Diff,Passes Diff,Pass Acc Diff,Fouls Diff,Yellows Diff,Reds Diff,Offsides Diff,Corners Diff,Saves Diff,Stat score abs,Stat score pure,Normalized stat score abs,Normalized stat score pure,Balance
UCL_GS_,Real Madrid vs Milan,Estadio Santiago Bernabeu,1-3,1,3,54,46,21,12,9,8,467,342,95,93,9,8,4,2,0,0,2,2,8,5,5,8,-2,8,9,1,125,2,-1,-2,0,0,3,-3,32.75,23.75,3.275,2.375,67.25
UECL_F_,Real Betis vs Chelsea,Stadion Miejski,1-4,1,4,33,67,13,11,3,7,296,592,77,86,16,12,2,3,0,0,0,3,4,4,3,2,-3,-34,2,-4,-296,-9,-4,1,0,3,0,1,65.96,-51.96,6.596,-5.196,34.04
LEAGUE_LEAGUE_,Getafe vs Real Sociedad,Coliseum,0-0,0,0,52,48,16,1,1,0,283,275,84,70,14,16,1,1,0,0,2,1,4,1,0,1,0,4,15,1,8,14,2,0,0,-1,3,-1,46.08,44.08,4.608,4.408,53.92
LEAGUE_LEAGUE_,Arsenal vs Man City,Emirates Stadium,5-1,5,1,46,54,12,7,7,4,364,412,95,93,6,7,2,0,0,0,3,1,5,2,3,2,4,-8,5,3,-48,2,1,-2,0,-2,3,1,33.98,9.02,3.398,0.902,66.02
LEAGUE_LEAGUE_,Everton vs Liverpool,Goodison Park,2-2,2,2,36,64,10,6,3,4,263,506,77,88,9,20,3,3,1,1,3,2,2,3,2,1,0,-28,4,-1,-243,-11,11,0,0,-1,-1,1,56.43,-33.43,5.643,-3.343,43.57
CUP_GS_,Arsenal vs Man United,Emirates Stadium,1-1,1,1,71,29,26,7,7,4,657,290,87,70,10,25,2,4,0,1,5,4,12,2,3,6,0,42,19,3,367,17,15,2,1,-1,10,-3,114.67,112.67,11.467,11.267,-14.67
CUP_F_,Crystal Palace vs Man City,Wembley Stadium,1-0,1,0,21,79,7,23,2,6,192,679,66,91,7,7,1,5,0,0,7,1,1,7,6,1,1,-58,-16,-4,-487,-25,0,4,0,-6,-6,5,133.87,-123.87,13.387,-12.387,-33.87
CWC_RO16_,Man City vs Al-Hilal,Camping World Stadium,3-4,3,4,70,30,30,17,15,6,826,373,92,83,17,7,3,1,0,0,0,2,19,4,2,12,-1,40,13,9,453,9,-10,-2,0,2,15,-10,108.53,92.53,10.853,9.253,-8.53
LEAGUE_LEAGUE_,Crystal Palace vs Wolves,Selhurst Park,4-2,4,2,32,68,13,12,10,2,235,497,79,89,14,8,1,2,0,0,2,0,0,10,0,6,2,-36,1,8,-262,-10,-6,1,0,-2,-10,-6,79.12,-38.12,7.912,-3.812,20.88
CUP_SF_L1,Milan vs Inter,San Siro,1-1,1,1,37,63,12,18,4,7,317,521,86,89,14,7,2,2,0,0,0,2,4,7,6,3,0,-26,-6,-3,-204,-3,-7,0,0,2,-3,3,53.04,-49.04,5.304,-4.904,46.96
CUP_SF_L2,Inter vs Milan,San Siro,0-3,0,3,56,44,16,8,3,3,487,391,88,85,7,9,2,0,0,0,3,1,6,7,0,3,-3,12,8,0,96,3,2,-2,0,-2,-1,-3,36.46,21.46,3.646,2.146,63.54
CUP_F_,Milan vs Bologna,Stadio Olimpico,0-1,0,1,54,46,7,11,2,5,496,428,85,87,11,11,2,3,0,0,2,3,3,3,4,2,-1,8,-4,-3,68,-2,0,1,0,1,0,2,25.68,-4.32,2.568,-0.432,74.32
UCL_SF_L1,Bayern vs Real Madrid,Allianz Arena,2-2,2,2,54,46,14,8,5,4,532,485,94,92,11,11,2,2,0,0,0,2,6,5,2,3,0,8,6,1,47,2,0,0,0,2,1,-1,23.97,23.97,2.397,2.397,76.03
