Match ,Teams,Rivalry,Rivalry Weight,Derby,Derby Weight,Stage,Stage Weight,Star Players,Star Players Weight,H2H History,H2H History Weight,Team,Team Weight,Title Race Impact,Title Race Impact,Past KO Encounters,Past KO Encounters Weight,Leg 2 ,Leg 2 Weight,Decided,Decided Weight,Current Form,Current Form Weight,Tension Score,Label
UCL_PL_L2,Real Madrid vs Man City ,High,2,No,0,PL,1,High,1,Hot,1,Both Strong,2,No,0,Yes,1,Yes,1,No,1,Both Hot,2,14,Ultra Hyped
LEAGUE_LEAGUE_,Man City vs Liverpool,High,2,No,0,LEAGUE,0,High,1,Hot,1,Both Strong,2,Yes,1,No,0,No,0,NA,0,Both Hot,2,11.5,Hyped
LEAGUE_LEAGUE_,Liverpool vs Man United,High,2,No,0,LEAGUE,0,High,1,Hot,1,Both Strong,2,Yes,1,No,0,No,0,NA,0,One Hot-Medium,1.5,11,Hyped
UEL_SF_L1,Athletic Club vs Man United,Low,0,No,0,SF,4,Medium,0.5,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot,1,7,Neutral
UEL_SF_L2,Man United vs Athletic Club,Low,0,No,0,SF,4,Medium,0.5,Rare,0,One Strong-Decent,1.5,No,0,No,0,Yes,1,Yes,0,One Hot,1,8,Neutral
UECL_SF_L1,Real Betis vs Fiorentina,Low,0,No,0,SF,4,Medium,0.5,Rare,0,One Decent,0.5,No,0,No,0,No,0,NA,0,One Hot,1,6,Low Tension
UECL_SF_L2,Fiorentina vs Real Betis,Low,0,No,0,SF,4,Medium,0.5,Rare,0,One Decent,0.5,No,0,No,0,Yes,1,No,1,One Hot,1,8,Neutral
LEAGUE_LEAGUE_,Chelsea vs Liverpool,Medium,1,No,0,LEAGUE,0,High,1,Neutral,0.5,Both Strong,2,No,0,Yes,1,No,0,NA,0,Both Hot,2,8.5,Neutral
LEAGUE_LEAGUE_,Arsenal vs Tottenham,High,2,Yes,1.5,LEAGUE,0,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,One Hot,1,11.25,Hyped
LEAGUE_LEAGUE_,Real Madrid vs Barcelona,High,2,No,0,LEAGUE,0,High,1,Hot,1,Both Strong,2,Yes,1,No,0,No,0,NA,0,Both Hot,2,11.5,Hyped
UCL_GS_, Atlético Madrid vs Leverkusen,Low,0,No,0,GS,0,High,1,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,Both Hot,2,4.5,Low Tension
UCL_GS_,Man City vs Feyenoord,Low,0,No,0,GS,0,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,2.5,Dead Fixture
UCL_GS_,Liverpool vs Leverkusen,Low,0,No,0,GS,0,High,1,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,Both Hot,2,4.5,Low Tension
UCL_GS_,Juventus vs PSV,Low,0,No,0,GS,0,Low,0,Rare,0,Both Strong,2,No,0,No,0,No,0,NA,0,One Hot,1,3,Dead Fixture
UCL_GS_,Milan vs Liverpool,High,2,No,0,GS,0,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,One Hot,1,9,Neutral
UCL_GS_,Monaco vs Barcelona,Low,0,No,0,GS,0,Medium,0.5,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot,1,3,Dead Fixture
LEAGUE_LEAGUE_,Man City vs Aston Villa,Low,0,No,0,LEAGUE,0,Medium,0.5,Neutral,0.5,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot,1,3.5,Dead Fixture
LEAGUE_LEAGUE_,Liverpool vs Crystal Palace,Low,0,No,0,LEAGUE,0,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,3,Dead Fixture
LEAGUE_LEAGUE_,Leicester City vs Southampton,Low,0,No,0,LEAGUE,0,Low,0,Rare,0,One Decent,0.5,No,0,No,0,No,0,NA,0,Both Cold,0,0.5,Dead Fixture
UCL_QF_L1,PSG vs Aston Villa,Low,0,No,0,QF,3,High,1,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,Both Hot,2,7.5,Neutral
UCL_QF_L2,Aston Villa vs PSG,Low,0,No,0,QF,3,High,1,Rare,0,One Strong-Decent,1.5,No,0,No,0,Yes,1,Yes,0,Both Hot,2,8.5,Neutral
LEAGUE_LEAGUE_,Villareal vs Sevilla,Low,0,No,0,LEAGUE,0,Low,0,Neutral,0.5,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,2.5,Dead Fixture
LEAGUE_LEAGUE_,Valencia vs Getafe,Low,0,No,0,LEAGUE,0,Low,0,Neutral,0.5,One Strong,1,No,0,No,0,No,0,NA,0,One Medium,0.5,2,Dead Fixture
LEAGUE_LEAGUE_,Napoli vs Inter,High,2,No,0,LEAGUE,0,High,1,Hot,1,Both Strong,2,Yes,1,Yes,1,No,0,NA,0,Both Hot,2,12.5,Hyped
LEAGUE_LEAGUE_,Inter vs Napoli,High,2,No,0,LEAGUE,0,High,1,Hot,1,Both Strong,2,Yes,1,Yes,1,No,0,NA,0,Both Hot,2,12.5,Hyped
UEL_F_,Atalanta vs Leverkusen,Low,0,No,0,F,5,High,1,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,Both Hot,2,9,Neutral
LEAGUE_LEAGUE_,NY Red Bulls vs Inter Miami,Low,0,No,0,LEAGUE,0,Medium,0.5,Rare,0,One Decent,0.5,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,2.5,Dead Fixture
LEAGUE_LEAGUE_,LAFC vs LA Galaxy,Medium,1,Yes,1.5,LEAGUE,0,Low,0,Neutral,0.5,One Decent,0.5,No,0,No,0,No,0,NA,0,One Hot,1,6.25,Low Tension
LEAGUE_LEAGUE_,Atlético Madrid vs Real Betis,Low,0,No,0,LEAGUE,0,High,1,Neutral,0.5,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,Both Hot,2,5,Low Tension
LEAGUE_LEAGUE_,Atlético Madrid vs Real Madrid,High,2,Yes,1.5,LEAGUE,0,High,1,Hot,1,Both Strong,2,Yes,1,No,0,No,0,NA,0,One Hot-Medium,1.5,13.25,Ultra Hyped
LEAGUE_LEAGUE_,Real Madrid vs Atlético Madrid,High,2,Yes,1.5,LEAGUE,0,High,1,Hot,1,Both Strong,2,Yes,1,No,0,No,0,NA,0,Both Hot,2,13.75,Ultra Hyped
UCL_QF_L1,PSG vs Barcelona,High,2,No,0,QF,3,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,13,Ultra Hyped
UCL_QF_L2,Barcelona vs PSG,High,2,No,0,QF,3,High,1,Hot,1,Both Strong,2,No,0,No,0,Yes,1,No,1,Both Hot,2,15,Ultra Hyped
UCL_QF_L1,Real Madrid vs Man City ,High,2,No,0,QF,3,High,1,Hot,1,Both Strong,2,No,0,Yes,1,No,0,NA,0,Both Hot,2,14,Ultra Hyped
UCL_QF_L2,Man City vs Real Madrid,High,2,No,0,QF,3,High,1,Hot,1,Both Strong,2,No,0,Yes,1,Yes,1,No,1,Both Hot,2,16,Ultra Hyped
CUP_SF_L1,Real Sociedad vs Real Madrid,Medium,1,No,0,SF,4,Medium,0.5,Neutral,0.5,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,10,Hyped
CUP_SF_L2,Real Madrid vs Real Sociedad,Medium,1,No,0,SF,4,Medium,0.5,Neutral,0.5,One Strong-Decent,1.5,No,0,No,0,Yes,1,No,1,One Hot-Medium,1.5,12,Hyped
LEAGUE_LEAGUE_,Tottenham vs Man City,Medium,1,No,0,LEAGUE,0,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,7.5,Neutral
UCL_GS_,Sporting vs Man City ,Low,0,No,0,GS,0,High,1,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,Both Hot,2,4.5,Low Tension
UEL_PL_L1,Barcelona vs Man United,High,2,No,0,PL,1,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,10.5,Hyped
UEL_PL_L2,Man United vs Barcelona ,High,2,No,0,PL,1,High,1,Hot,1,Both Strong,2,No,0,No,0,Yes,1,No,1,One Hot-Medium,1.5,12.5,Hyped
LEAGUE_LEAGUE_,Celta Vigo vs Sevilla,Medium,1,No,0,LEAGUE,0,Low,0,Neutral,0.5,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,4.5,Low Tension
LEAGUE_LEAGUE_,Real Betis vs Sevilla,Medium,1,Yes,1.5,LEAGUE,0,Medium,0.5,Neutral,0.5,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,8.25,Neutral
LEAGUE_LEAGUE_,Crystal Palace vs Brighton,Low,0,No,0,LEAGUE,0,Low,0,Neutral,0.5,One Decent,0.5,No,0,No,0,No,0,NA,0,One Medium,0.5,1.5,Dead Fixture
LEAGUE_LEAGUE_,Man City vs Chelsea,High,2,No,0,LEAGUE,0,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,One Hot,1,9,Neutral
LEAGUE_LEAGUE_,Leicester City vs Tottenham,Medium,1,No,0,LEAGUE,0,Medium,0.5,Neutral,0.5,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,5,Low Tension
LEAGUE_LEAGUE_,Barcelona vs Real Betis,Low,0,No,0,LEAGUE,0,High,1,Rare,0,One Strong-Decent,1.5,Yes,1,No,0,No,0,NA,0,Both Hot,2,6,Low Tension
LEAGUE_LEAGUE_,Getafe vs Atlético Madrid,Low,0,No,0,LEAGUE,0,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,2.5,Dead Fixture
LEAGUE_LEAGUE_,Real Betis vs Alavés,Low,0,No,0,LEAGUE,0,Low,0,Neutral,0.5,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,2.5,Dead Fixture
LEAGUE_LEAGUE_,Ipswich Town vs Wolves,Low,0,No,0,LEAGUE,0,Low,0,Neutral,0.5,One Decent,0.5,No,0,No,0,No,0,NA,0,One Medium,0.5,1.5,Dead Fixture
