Match ,Teams,Venue,Comebacks,Late Goal,Penalties,Missed Penalties,Free Kick Goals,Hattricks,Braces,Lead Changes,ET/Penalty Shootout,Disallowed Goals,VAR Penalties ,VAR Penalties Overturned,Competition,Stage,C_score,S_score,CS_score,Raw_Ent_score,Ent_score,Tension Score,Diff Score,Normalized stat score abs,Raw Final Score,Final Score,Adj Final Score,Avg Final Score,Raw Label,Label,Adj Label,Avg Label
UCL_GS_,PSV vs Liverpool,Phillips Stadion,2,0,1,0,0,0,0,3,0,0,0,0,UCL,GS,3,1,2,10,12,3.5,8.5,2.312,6.3248,7.1248,6.4248,6.6248,Forgettable 😴,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
EURO_QF_,Spain vs Germany,MHPArena,1,2,0,0,0,0,0,2,0,0,0,0,EURO,QF,4,3,3.5,8,11.5,11.5,0,2.712,8.8848,10.2848,7.9848,9.051466667,Decent Match ⚖️,Banger 🎯,Decent Match ⚖️,Decent Match ⚖️
EURO_QF_,Netherlands vs Türkiye,Olympiastadion Berlin,1,1,0,0,0,0,0,2,0,0,0,0,EURO,QF,4,3,3.5,6.5,10,6.5,3.5,4.925,7.17,8.57,7.27,7.67,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
EURO_QF_,England vs Switzerland,merkur spiel arena,1,1,0,0,0,0,0,1,1,0,0,0,EURO,QF,4,3,3.5,8.5,12,6.5,5.5,3.47,7.388,8.788,7.6115,7.929166667,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
EURO_QF_,Portugal vs France,Volksparkstadion,0,0,0,0,0,0,0,0,1,0,0,0,EURO,QF,4,3,3.5,3,6.5,10.5,-4,4.133,7.0532,8.4532,6.3532,7.286533333,Decent Match ⚖️,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
EURO_RO16_,France vs Belgium,merkur spiel arena,0,1,0,0,0,0,0,0,0,0,0,0,EURO,RO16,4,2,3,1.5,4.5,9.5,-5,4.313,6.1252,7.3252,5.4252,6.291866667,Forgettable 😴,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
EURO_RO16_,Switzerland vs Italy,Olympiastadion Berlin,0,0,0,0,0,0,0,1,0,0,0,0,EURO,RO16,4,2,3,1,4,4.5,-0.5,2.957,3.3828,4.5828,3.6828,3.8828,Trash 🗑️,Forgettable 😴,Trash 🗑️,Trash 🗑️
EURO_RO16_,England vs Slovakia,Veltins-Arena,1,2,0,0,0,0,0,2,0,1,0,0,EURO,RO16,4,2,3,9.5,12.5,4.5,8,5.536,7.8144,9.0144,8.5662,8.465,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
EURO_RO16_,Spain vs Georgia,RheinEnergieStadion,1,1,0,0,0,0,0,2,0,0,0,0,EURO,RO16,4,2,3,6.5,9.5,4.5,5,15.879,10.7516,11.9516,11.87055,11.52458333,Banger 🎯,Banger 🎯,Banger 🎯,Banger 🎯
EURO_RO16_,Portugal vs Slovenia,Deutsche Bank Park,0,0,1,1,0,0,0,0,1,0,1,0,EURO,RO16,4,2,3,7,10,4.5,5.5,11.465,9.186,10.386,10.10925,9.89375,Decent Match ⚖️,Banger 🎯,Banger 🎯,Banger 🎯
EURO_RO16_,Romania vs Netherlands,Allianz Arena,0,2,0,0,0,0,1,1,0,1,0,0,EURO,RO16,4,2,3,6.5,9.5,4.5,5,9.492,8.1968,9.3968,8.9964,8.863333333,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
EURO_RO16_,Austria vs Türkiye,Red Bull Arena Leipzig,1,0,0,0,0,0,1,2,0,0,0,0,EURO,RO16,4,2,3,6,9,2.5,6.5,6.285,5.914,7.114,7.12825,6.71875,Forgettable 😴,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
COPA_SF_,Argentina vs Canada,MetLife Stadium,0,0,0,0,0,0,0,1,0,0,0,0,COPA,SF,4,4,4,1,5,9.5,-4.5,2.02,5.008,6.608,4.708,5.441333333,Forgettable 😴,Forgettable 😴,Forgettable 😴,Forgettable 😴
COPA_SF_,Uruguay vs Colombia,Bank of America Stadium,0,0,0,0,0,0,0,1,0,0,0,0,COPA,SF,4,4,4,1,5,12.5,-7.5,4.501,7.2004,8.8004,6.3004,7.433733333,Decent Match ⚖️,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
COPA_QF_,Argentina vs Ecuador,NRG Stadium,1,1,0,0,0,0,0,1,1,0,0,0,COPA,QF,4,3,3.5,8.5,12,8,4,0.78,6.912,8.312,6.712,7.312,Forgettable 😴,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
COPA_QF_,Venezuela vs Canada,AT&T Stadium,1,0,0,0,0,0,0,1,1,0,0,0,COPA,QF,4,3,3.5,7,10.5,5,5.5,3.433,6.1732,7.5732,6.5732,6.7732,Forgettable 😴,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
COPA_QF_,Colombia vs Panama,State Farm Stadium,0,1,2,0,0,0,0,1,0,0,0,0,COPA,QF,4,3,3.5,4.5,8,5,3,3.226,5.0904,6.4904,5.4904,5.6904,Forgettable 😴,Forgettable 😴,Forgettable 😴,Forgettable 😴
COPA_QF_,Uruguay vs Brazil,Allegiant Stadium,0,0,0,0,0,0,0,0,1,0,0,0,COPA,QF,4,3,3.5,3,6.5,12.5,-6,5.035,8.214,9.614,7.114,8.314,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
COPA_SF_,Brazil vs Peru,Olympic Stadium,0,0,0,0,0,0,0,1,0,0,0,0,COPA,SF,4,4,4,1,5,6.5,-1.5,4.806,4.9224,6.5224,5.2224,5.555733333,Forgettable 😴,Forgettable 😴,Forgettable 😴,Forgettable 😴
COPA_SF_,Argentina vs Colombia,Arena BRB Mané Garrincha,1,0,0,0,0,0,0,1,1,0,0,0,COPA,SF,4,4,4,7,11,11.5,-0.5,1.504,8.0016,9.6016,7.3016,8.3016,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
COPA_QF_,Peru vs Paraguay,Estadio Olimpico Pedro Ludovico,3,2,0,0,0,0,0,3,1,0,0,0,COPA,QF,4,3,3.5,18,21.5,6.5,15,3.534,11.2136,12.6136,11.9153,11.91416667,Banger 🎯,Banger 🎯,Banger 🎯,Banger 🎯
