Match ,Teams,Venue,Normalized stat score abs,Normalized stat score pure,Ent_score,Tension Score,Stat_Ent,Diff_ten_ent,Label
LEAGUE_LEAGUE_,Napoli vs Inter,Stadio Diego Armando Maradona,6.3,5.1,8.5,12.5,7.4,-4,Major Letdown
LEAGUE_LEAGUE_,Inter vs Napoli,San Siro,2.876,2.276,5,12.5,3.938,-7.5,Major Letdown
UEL_F_,Atalanta vs Leverkusen,Aviva Stadium,4.942,-1.842,7,9,5.971,-2,Slight Letdown
LEAGUE_LEAGUE_,NY Red Bulls vs Inter Miami,Red Bull Arena,5.107,-4.507,8,3.25,6.5535,4.75,Exceeded Expectantions
LEAGUE_LEAGUE_,LAFC vs LA Galaxy,BMO Stadium,4.87,-3.17,9.5,6.25,7.185,3.25,Exceeded Expectantions
LEAGUE_LEAGUE_,Atlético Madrid vs Real Betis,Riyadh Air Metropolitano,4.229,0.971,15,5,9.6145,10,Exceeded Expectantions
LEAGUE_LEAGUE_,Atlético Madrid vs Real Madrid,Riyadh Air Metropolitano,1.254,0.054,6.5,12.5,3.877,-6,Major Letdown
LEAGUE_LEAGUE_,Real Madrid vs Atlético Madrid,Estadio Santiago Bernabeu,6.18,5.88,7,13.75,6.59,-6.75,Major Letdown
UCL_QF_L1,PSG vs Barcelona,Parc des Princes,3.119,2.719,13,13,8.0595,0,Lived up to hype
UCL_QF_L2,Barcelona vs PSG,Estadi Olímpic Lluís Companys,8.471,-8.271,11.5,15,9.9855,-3.5,Major Letdown
UCL_QF_L1,Real Madrid vs Man City ,Estadio Santiago Bernabeu,3.264,-2.264,16.5,14,9.882,2.5,Exceeded Expectantions
UCL_QF_L2,Man City vs Real Madrid,Etihad Stadium,10.713,10.513,11.5,16,11.1065,-4.5,Major Letdown
CUP_SF_L1,Real Sociedad vs Real Madrid,Anoeta,2.066,0.966,4,10,3.033,-6,Major Letdown
CUP_SF_L2,Real Madrid vs Real Sociedad,Estadio Santiago Bernabeu,7.013,5.113,25,12,16.0065,13,Exceeded Expectantions
LEAGUE_LEAGUE_,Tottenham vs Man City,Tottenham Hotspur Stadium,2.3,1,3.5,7.5,2.9,-4,Major Letdown
UCL_GS_,Sporting vs Man City ,Estadio Jose Alvalade,8.555,-7.355,16,4.5,12.2775,11.5,Exceeded Expectantions
UEL_PL_L1,Barcelona vs Man United,Camp Nou,3.561,3.361,11,10.5,7.2805,0.5,Lived up to hype
UEL_PL_L2,Man United vs Barcelona ,Old Trafford,3.374,-0.174,7.5,12.5,5.437,-5,Major Letdown
LEAGUE_LEAGUE_,Celta Vigo vs Sevilla,Balaídos,4.46,-2.84,10,4.5,7.23,5.5,Exceeded Expectantions
LEAGUE_LEAGUE_,Real Betis vs Sevilla,Benito Villamarín,3.658,2.458,6,8.25,4.829,-2.25,Slight Letdown
LEAGUE_LEAGUE_,Crystal Palace vs Brighton,Selhurst Park,5.367,-4.967,6,1.5,5.6835,4.5,Exceeded Expectantions
LEAGUE_LEAGUE_,Man City vs Chelsea,Etihad Stadium,3.842,2.742,6.5,9,5.171,-2.5,Slight Letdown
LEAGUE_LEAGUE_,Leicester City vs Tottenham,King Power Stadium,8.596,-8596,5,5,6.798,0,Lived up to hype
LEAGUE_LEAGUE_,Barcelona vs Real Betis,Estadi Olímpic Lluís Companys,9.724,9.524,5,6,7.362,-1,Slight Letdown
LEAGUE_LEAGUE_,Getafe vs Atlético Madrid,Coliseum,5.946,-2.446,11,2.5,8.473,8.5,Exceeded Expectantions
LEAGUE_LEAGUE_,Real Betis vs Alavés,Benito Villamarín,2.265,-1.635,14.5,2.5,8.3825,12,Exceeded Expectantions
LEAGUE_LEAGUE_,Ipswich Town vs Wolves,Portman Road,5.784,-5.784,7.5,1.5,6.642,6,Exceeded Expectantions
LEAGUE_LEAGUE_,Tottenham vs Brighton,Tottenham Hotspur Stadium,8.774,-8.974,12,2.5,10.387,9.5,Exceeded Expectantions
LEAGUE_LEAGUE_,Juventus vs Empoli,Allianz Stadium,5.976,5.976,12,1.5,8.988,10.5,Exceeded Expectantions
LEAGUE_LEAGUE_,Milan vs Atalanta,San Siro,1.842,-0.642,2,8.5,1.921,-6.5,Major Letdown
UCL_GS_,Celtic vs Bayern,Celtic Park,3.114,-2.514,6.5,3,4.807,3.5,Exceeded Expectantions
UCL_GS_,Crvena zvezda vs PSV,Red Star Stadium,4.199,3.799,5.5,1.5,4.8495,4,Exceeded Expectantions
UCL_GS_,Dinamo Zagreb vs Monaco,Stadion Maksimir,4.702,-4.702,8.5,1.25,6.601,7.25,Exceeded Expectantions
EURO_F_,Spain vs England,Olympiastadion Berlin,6.601,6.401,11,12.5,8.8005,-1.5,Slight Letdown
EURO_SF_,Spain vs Germany,MHPArena,2.712,-1.112,15,11.5,8.856,3.5,Exceeded Expectantions
EURO_SF_,Netherlands vs England,Signul Iduna Park,3.975,-2.575,12.5,11.5,8.2375,1,Lived up to hype
COPA_F_,Argentina vs Colombia,Hard Rock Stadium,4.078,-3.078,8.5,12.5,6.289,-4,Major Letdown
COPA_F_,Argentina vs Brazil,Maracanã,4.793,-3.993,5.5,15,5.1465,-9.5,Major Letdown
WCQ_GS_,Argentina vs Brazil,Estadio Mâs Monumental,5.101,4.401,2.5,10,3.8005,-7.5,Major Letdown
LEAGUE_LEAGUE_,Inter Miami vs Cincinnati,Chase Stadium,3.91,3.31,1,8,2.455,-7,Major Letdown
EURO_F_,Italy vs England,Wembley Stadium,8.595,6.794,11.5,13,10.0475,-1.5,Slight Letdown
EURO_SF_,Italy vs Spain,Wembley Stadium,8.771,-8.771,12.5,12,10.6355,0.5,Lived up to hype
